k,SSE,Clusters
3,1758.222902010674,"['Cluster 0 Length: 1321', 'Cluster 1 Length: 595', 'Cluster 2 Length: 65']"
4,1718.969645527888,"['Cluster 0 Length: 1125', 'Cluster 1 Length: 380', 'Cluster 2 Length: 312', 'Cluster 3 Length: 164']"
5,1710.2836496461882,"['Cluster 0 Length: 871', 'Cluster 1 Length: 429', 'Cluster 2 Length: 349', 'Cluster 3 Length: 128', 'Cluster 4 Length: 204']"
6,1694.9713924688865,"['Cluster 0 Length: 661', 'Cluster 1 Length: 409', 'Cluster 2 Length: 319', 'Cluster 3 Length: 439', 'Cluster 4 Length: 73', 'Cluster 5 Length: 80']"
7,1691.6995649646276,"['Cluster 0 Length: 698', 'Cluster 1 Length: 116', 'Cluster 2 Length: 319', 'Cluster 3 Length: 376', 'Cluster 4 Length: 76', 'Cluster 5 Length: 261', 'Cluster 6 Length: 135']"
8,1657.7711963144245,"['Cluster 0 Length: 412', 'Cluster 1 Length: 320', 'Cluster 2 Length: 123', 'Cluster 3 Length: 149', 'Cluster 4 Length: 192', 'Cluster 5 Length: 431', 'Cluster 6 Length: 234', 'Cluster 7 Length: 120']"
9,1665.8917524493045,"['Cluster 0 Length: 498', 'Cluster 1 Length: 288', 'Cluster 2 Length: 190', 'Cluster 3 Length: 259', 'Cluster 4 Length: 125', 'Cluster 5 Length: 52', 'Cluster 6 Length: 344', 'Cluster 7 Length: 159', 'Cluster 8 Length: 66']"
10,1657.3491818675004,"['Cluster 0 Length: 587', 'Cluster 1 Length: 171', 'Cluster 2 Length: 97', 'Cluster 3 Length: 90', 'Cluster 4 Length: 141', 'Cluster 5 Length: 282', 'Cluster 6 Length: 53', 'Cluster 7 Length: 224', 'Cluster 8 Length: 49', 'Cluster 9 Length: 287']"
11,1634.8245341810095,"['Cluster 0 Length: 420', 'Cluster 1 Length: 69', 'Cluster 2 Length: 257', 'Cluster 3 Length: 132', 'Cluster 4 Length: 90', 'Cluster 5 Length: 335', 'Cluster 6 Length: 131', 'Cluster 7 Length: 54', 'Cluster 8 Length: 140', 'Cluster 9 Length: 97', 'Cluster 10 Length: 256']"
12,1651.043349748195,"['Cluster 0 Length: 502', 'Cluster 1 Length: 12', 'Cluster 2 Length: 108', 'Cluster 3 Length: 294', 'Cluster 4 Length: 86', 'Cluster 5 Length: 195', 'Cluster 6 Length: 192', 'Cluster 7 Length: 127', 'Cluster 8 Length: 24', 'Cluster 9 Length: 68', 'Cluster 10 Length: 273', 'Cluster 11 Length: 100']"
13,1641.3506143051247,"['Cluster 0 Length: 429', 'Cluster 1 Length: 243', 'Cluster 2 Length: 47', 'Cluster 3 Length: 151', 'Cluster 4 Length: 86', 'Cluster 5 Length: 206', 'Cluster 6 Length: 228', 'Cluster 7 Length: 141', 'Cluster 8 Length: 235', 'Cluster 9 Length: 69', 'Cluster 10 Length: 11', 'Cluster 11 Length: 121', 'Cluster 12 Length: 14']"
14,1651.3320120122132,"['Cluster 0 Length: 455', 'Cluster 1 Length: 41', 'Cluster 2 Length: 52', 'Cluster 3 Length: 25', 'Cluster 4 Length: 45', 'Cluster 5 Length: 272', 'Cluster 6 Length: 214', 'Cluster 7 Length: 324', 'Cluster 8 Length: 92', 'Cluster 9 Length: 73', 'Cluster 10 Length: 65', 'Cluster 11 Length: 238', 'Cluster 12 Length: 27', 'Cluster 13 Length: 58']"
15,1635.4973098232479,"['Cluster 0 Length: 417', 'Cluster 1 Length: 37', 'Cluster 2 Length: 66', 'Cluster 3 Length: 380', 'Cluster 4 Length: 36', 'Cluster 5 Length: 129', 'Cluster 6 Length: 51', 'Cluster 7 Length: 79', 'Cluster 8 Length: 159', 'Cluster 9 Length: 23', 'Cluster 10 Length: 63', 'Cluster 11 Length: 144', 'Cluster 12 Length: 283', 'Cluster 13 Length: 75', 'Cluster 14 Length: 39']"
16,1633.7386405188913,"['Cluster 0 Length: 447', 'Cluster 1 Length: 47', 'Cluster 2 Length: 64', 'Cluster 3 Length: 191', 'Cluster 4 Length: 103', 'Cluster 5 Length: 9', 'Cluster 6 Length: 192', 'Cluster 7 Length: 12', 'Cluster 8 Length: 281', 'Cluster 9 Length: 55', 'Cluster 10 Length: 259', 'Cluster 11 Length: 199', 'Cluster 12 Length: 5', 'Cluster 13 Length: 26', 'Cluster 14 Length: 67', 'Cluster 15 Length: 24']"
17,1616.3918913025561,"['Cluster 0 Length: 232', 'Cluster 1 Length: 119', 'Cluster 2 Length: 140', 'Cluster 3 Length: 71', 'Cluster 4 Length: 22', 'Cluster 5 Length: 72', 'Cluster 6 Length: 60', 'Cluster 7 Length: 136', 'Cluster 8 Length: 277', 'Cluster 9 Length: 35', 'Cluster 10 Length: 20', 'Cluster 11 Length: 208', 'Cluster 12 Length: 271', 'Cluster 13 Length: 83', 'Cluster 14 Length: 129', 'Cluster 15 Length: 45', 'Cluster 16 Length: 61']"
18,1613.4385530420295,"['Cluster 0 Length: 210', 'Cluster 1 Length: 164', 'Cluster 2 Length: 74', 'Cluster 3 Length: 122', 'Cluster 4 Length: 8', 'Cluster 5 Length: 319', 'Cluster 6 Length: 45', 'Cluster 7 Length: 92', 'Cluster 8 Length: 90', 'Cluster 9 Length: 293', 'Cluster 10 Length: 63', 'Cluster 11 Length: 31', 'Cluster 12 Length: 40', 'Cluster 13 Length: 47', 'Cluster 14 Length: 64', 'Cluster 15 Length: 18', 'Cluster 16 Length: 8', 'Cluster 17 Length: 293']"
19,1586.583924494503,"['Cluster 0 Length: 269', 'Cluster 1 Length: 56', 'Cluster 2 Length: 97', 'Cluster 3 Length: 60', 'Cluster 4 Length: 168', 'Cluster 5 Length: 48', 'Cluster 6 Length: 32', 'Cluster 7 Length: 76', 'Cluster 8 Length: 123', 'Cluster 9 Length: 149', 'Cluster 10 Length: 78', 'Cluster 11 Length: 36', 'Cluster 12 Length: 106', 'Cluster 13 Length: 65', 'Cluster 14 Length: 60', 'Cluster 15 Length: 120', 'Cluster 16 Length: 96', 'Cluster 17 Length: 141', 'Cluster 18 Length: 201']"
20,1596.9503322887626,"['Cluster 0 Length: 313', 'Cluster 1 Length: 92', 'Cluster 2 Length: 39', 'Cluster 3 Length: 57', 'Cluster 4 Length: 63', 'Cluster 5 Length: 98', 'Cluster 6 Length: 69', 'Cluster 7 Length: 186', 'Cluster 8 Length: 29', 'Cluster 9 Length: 20', 'Cluster 10 Length: 39', 'Cluster 11 Length: 120', 'Cluster 12 Length: 28', 'Cluster 13 Length: 186', 'Cluster 14 Length: 159', 'Cluster 15 Length: 219', 'Cluster 16 Length: 124', 'Cluster 17 Length: 32', 'Cluster 18 Length: 68', 'Cluster 19 Length: 40']"
21,1606.4341358682807,"['Cluster 0 Length: 256', 'Cluster 1 Length: 104', 'Cluster 2 Length: 51', 'Cluster 3 Length: 82', 'Cluster 4 Length: 47', 'Cluster 5 Length: 227', 'Cluster 6 Length: 48', 'Cluster 7 Length: 16', 'Cluster 8 Length: 13', 'Cluster 9 Length: 50', 'Cluster 10 Length: 122', 'Cluster 11 Length: 165', 'Cluster 12 Length: 129', 'Cluster 13 Length: 21', 'Cluster 14 Length: 79', 'Cluster 15 Length: 19', 'Cluster 16 Length: 39', 'Cluster 17 Length: 29', 'Cluster 18 Length: 59', 'Cluster 19 Length: 145', 'Cluster 20 Length: 280']"
22,1594.4079782870024,"['Cluster 0 Length: 232', 'Cluster 1 Length: 18', 'Cluster 2 Length: 41', 'Cluster 3 Length: 82', 'Cluster 4 Length: 6', 'Cluster 5 Length: 13', 'Cluster 6 Length: 241', 'Cluster 7 Length: 121', 'Cluster 8 Length: 202', 'Cluster 9 Length: 42', 'Cluster 10 Length: 13', 'Cluster 11 Length: 71', 'Cluster 12 Length: 193', 'Cluster 13 Length: 142', 'Cluster 14 Length: 84', 'Cluster 15 Length: 24', 'Cluster 16 Length: 107', 'Cluster 17 Length: 129', 'Cluster 18 Length: 38', 'Cluster 19 Length: 39', 'Cluster 20 Length: 36', 'Cluster 21 Length: 107']"
23,1597.286381257462,"['Cluster 0 Length: 321', 'Cluster 1 Length: 92', 'Cluster 2 Length: 20', 'Cluster 3 Length: 319', 'Cluster 4 Length: 14', 'Cluster 5 Length: 132', 'Cluster 6 Length: 48', 'Cluster 7 Length: 26', 'Cluster 8 Length: 37', 'Cluster 9 Length: 123', 'Cluster 10 Length: 54', 'Cluster 11 Length: 117', 'Cluster 12 Length: 118', 'Cluster 13 Length: 19', 'Cluster 14 Length: 60', 'Cluster 15 Length: 86', 'Cluster 16 Length: 31', 'Cluster 17 Length: 49', 'Cluster 18 Length: 14', 'Cluster 19 Length: 42', 'Cluster 20 Length: 180', 'Cluster 21 Length: 54', 'Cluster 22 Length: 25']"
24,1573.1429096693123,"['Cluster 0 Length: 109', 'Cluster 1 Length: 21', 'Cluster 2 Length: 230', 'Cluster 3 Length: 52', 'Cluster 4 Length: 45', 'Cluster 5 Length: 54', 'Cluster 6 Length: 106', 'Cluster 7 Length: 32', 'Cluster 8 Length: 151', 'Cluster 9 Length: 199', 'Cluster 10 Length: 62', 'Cluster 11 Length: 40', 'Cluster 12 Length: 103', 'Cluster 13 Length: 86', 'Cluster 14 Length: 131', 'Cluster 15 Length: 23', 'Cluster 16 Length: 47', 'Cluster 17 Length: 58', 'Cluster 18 Length: 74', 'Cluster 19 Length: 36', 'Cluster 20 Length: 43', 'Cluster 21 Length: 70', 'Cluster 22 Length: 151', 'Cluster 23 Length: 58']"
25,1593.8548498141272,"['Cluster 0 Length: 166', 'Cluster 1 Length: 18', 'Cluster 2 Length: 12', 'Cluster 3 Length: 67', 'Cluster 4 Length: 34', 'Cluster 5 Length: 50', 'Cluster 6 Length: 111', 'Cluster 7 Length: 48', 'Cluster 8 Length: 8', 'Cluster 9 Length: 91', 'Cluster 10 Length: 92', 'Cluster 11 Length: 69', 'Cluster 12 Length: 50', 'Cluster 13 Length: 43', 'Cluster 14 Length: 163', 'Cluster 15 Length: 258', 'Cluster 16 Length: 96', 'Cluster 17 Length: 182', 'Cluster 18 Length: 27', 'Cluster 19 Length: 2', 'Cluster 20 Length: 140', 'Cluster 21 Length: 70', 'Cluster 22 Length: 148', 'Cluster 23 Length: 18', 'Cluster 24 Length: 18']"
26,1589.9471924967381,"['Cluster 0 Length: 192', 'Cluster 1 Length: 194', 'Cluster 2 Length: 259', 'Cluster 3 Length: 107', 'Cluster 4 Length: 5', 'Cluster 5 Length: 108', 'Cluster 6 Length: 90', 'Cluster 7 Length: 43', 'Cluster 8 Length: 50', 'Cluster 9 Length: 24', 'Cluster 10 Length: 123', 'Cluster 11 Length: 17', 'Cluster 12 Length: 62', 'Cluster 13 Length: 69', 'Cluster 14 Length: 15', 'Cluster 15 Length: 18', 'Cluster 16 Length: 11', 'Cluster 17 Length: 5', 'Cluster 18 Length: 227', 'Cluster 19 Length: 37', 'Cluster 20 Length: 26', 'Cluster 21 Length: 14', 'Cluster 22 Length: 51', 'Cluster 23 Length: 191', 'Cluster 24 Length: 29', 'Cluster 25 Length: 14']"
27,1579.9995037193878,"['Cluster 0 Length: 368', 'Cluster 1 Length: 46', 'Cluster 2 Length: 60', 'Cluster 3 Length: 6', 'Cluster 4 Length: 18', 'Cluster 5 Length: 8', 'Cluster 6 Length: 71', 'Cluster 7 Length: 74', 'Cluster 8 Length: 20', 'Cluster 9 Length: 66', 'Cluster 10 Length: 86', 'Cluster 11 Length: 70', 'Cluster 12 Length: 110', 'Cluster 13 Length: 39', 'Cluster 14 Length: 108', 'Cluster 15 Length: 77', 'Cluster 16 Length: 42', 'Cluster 17 Length: 248', 'Cluster 18 Length: 31', 'Cluster 19 Length: 72', 'Cluster 20 Length: 66', 'Cluster 21 Length: 29', 'Cluster 22 Length: 58', 'Cluster 23 Length: 4', 'Cluster 24 Length: 92', 'Cluster 25 Length: 10', 'Cluster 26 Length: 102']"
28,1582.1280925962099,"['Cluster 0 Length: 291', 'Cluster 1 Length: 25', 'Cluster 2 Length: 87', 'Cluster 3 Length: 142', 'Cluster 4 Length: 43', 'Cluster 5 Length: 128', 'Cluster 6 Length: 26', 'Cluster 7 Length: 100', 'Cluster 8 Length: 16', 'Cluster 9 Length: 102', 'Cluster 10 Length: 105', 'Cluster 11 Length: 34', 'Cluster 12 Length: 89', 'Cluster 13 Length: 47', 'Cluster 14 Length: 24', 'Cluster 15 Length: 20', 'Cluster 16 Length: 68', 'Cluster 17 Length: 22', 'Cluster 18 Length: 22', 'Cluster 19 Length: 40', 'Cluster 20 Length: 73', 'Cluster 21 Length: 20', 'Cluster 22 Length: 176', 'Cluster 23 Length: 57', 'Cluster 24 Length: 47', 'Cluster 25 Length: 16', 'Cluster 26 Length: 40', 'Cluster 27 Length: 121']"
29,1576.060327456729,"['Cluster 0 Length: 169', 'Cluster 1 Length: 52', 'Cluster 2 Length: 145', 'Cluster 3 Length: 137', 'Cluster 4 Length: 125', 'Cluster 5 Length: 51', 'Cluster 6 Length: 87', 'Cluster 7 Length: 54', 'Cluster 8 Length: 151', 'Cluster 9 Length: 36', 'Cluster 10 Length: 56', 'Cluster 11 Length: 19', 'Cluster 12 Length: 18', 'Cluster 13 Length: 46', 'Cluster 14 Length: 35', 'Cluster 15 Length: 38', 'Cluster 16 Length: 14', 'Cluster 17 Length: 86', 'Cluster 18 Length: 63', 'Cluster 19 Length: 31', 'Cluster 20 Length: 26', 'Cluster 21 Length: 43', 'Cluster 22 Length: 216', 'Cluster 23 Length: 7', 'Cluster 24 Length: 18', 'Cluster 25 Length: 109', 'Cluster 26 Length: 33', 'Cluster 27 Length: 88', 'Cluster 28 Length: 28']"
