k,SSE
3,3397.4021498778
6,3363.7974470637128
9,3243.725067943731
12,3197.967763423748
15,3167.1593414281174
18,3120.1204169603225
21,3078.9556999065303
24,3052.2192921448086
27,3040.333979281958
30,3068.8243762963198
33,3007.1886443437697
36,2960.8737843145486
39,2960.3641784624424
42,2937.961237964056
45,2928.6160253678636
48,2914.3002710837977
51,2908.512300310991
54,2905.333727966633
57,2887.6670533418046
60,2873.184719375193
63,2858.1561720710374
66,2829.0941893260433
69,2834.6158204630588
72,2802.5033280077323
75,2817.5015651821277
78,2788.377711347675
81,2798.433903105484
84,2762.7456423274907
87,2759.8066637884635
90,2757.6331884402866
93,2732.7559598791313
96,2727.622104920842
99,2713.957137262085
102,2726.0586865613172
105,2722.106140304557
108,2706.5848334152247
111,2713.8130162034067
114,2691.2106698883354
117,2669.9612461898005
120,2666.6862626755687
123,2661.251597803739
126,2701.5948677077413
129,2653.4380351071522
132,2651.325320361536
135,2640.6281869306135
138,2642.6920889285448
141,2644.489191588682
144,2623.779378352134
147,2620.372409883087
150,2617.577359259152
153,2587.753350271347
156,2622.057247493884
159,2607.3226045374568
162,2587.9012072380087
165,2581.5812626736274
168,2562.9771320299183
171,2578.5809613681836
174,2567.3807831344934
177,2568.718720143131
180,2553.2635047174663
183,2549.7100164118633
186,2564.3139375247856
189,2549.6808378232577
192,2537.9960904401787
195,2519.578357797625
198,2547.265489051886
