k,SSE
3,6185.143037916587
6,5942.1158610177345
9,5857.506510013921
12,5898.352740162548
15,5723.982925184922
18,5633.349083050725
21,5725.903366626602
24,5709.295634490904
27,5730.036080659543
30,5555.857377760255
33,5633.143555901243
36,5564.220828764592
39,5542.100601558961
42,5489.91878998363
45,5463.5594654471815
48,5492.996679110548
51,5458.571202122749
54,5489.883966397396
57,5413.645116198914
60,5351.61026046896
63,5401.656163445057
66,5412.9601792255
69,5390.900838981558
72,5381.818787651455
75,5329.368597870786
78,5317.071619985548
81,5311.987475528673
84,5281.442592405518
87,5269.463899161123
90,5234.746790321115
93,5226.494772876981
96,5243.365513943541
99,5253.397695864426
102,5274.193147775047
105,5219.519139963433
108,5274.495652261742
111,5159.450841623692
114,5184.70821096161
117,5177.090808527579
120,5136.346499521607
123,5125.798081364844
126,5170.272758249092
129,5151.874266968499
132,5124.981331929504
135,5096.214102728773
138,5105.3297450120335
141,5092.5824615584725
144,5092.328227137469
147,5059.51261682812
150,5077.210565761056
153,5053.00929263799
156,5044.509629105411
159,5023.882564791539
162,5068.659513968553
165,4979.30433538589
168,5007.706539664145
171,4995.209936306981
174,4992.003719964936
177,4971.552556913229
180,4974.83481565363
183,4957.799766355803
186,4954.254307346931
189,4967.359901353757
192,4916.631709532666
195,4931.873325375828
198,4926.734009906741
